,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(72,155)",3.5277498224582224,0.21564063653091256,0.8795180722891566,0.1797752808988764,0.7373737373737373,4.579259839620345,-0.025315131913394073,0.5714285714285714,0.4418604651162791,0.39344262295081966,8.142842551637147,0.20927828316725103,0.2222222222222222,0.8666666666666667,0.09090909090909091
"(72,156)",3.5701486142241796,0.23651418899068702,0.8313253012048193,0.19767441860465115,0.69,4.583209103706179,0.003518302067560937,0.5714285714285714,0.4666666666666667,0.38095238095238093,8.485112083382585,0.09933198401234584,0.1111111111111111,0.9285714285714286,0.045454545454545456
"(72,157)",3.4805338037079836,0.29984335522450023,0.8433734939759037,0.18604651162790697,0.7070707070707071,4.6002053733718515,0.0672144232586443,0.6190476190476191,0.4090909090909091,0.43333333333333335,8.08553848175006,-0.20468860002183792,0.2222222222222222,0.8461538461538461,0.1
"(72,158)",3.432946847709443,0.3526450601724825,0.8433734939759037,0.18604651162790697,0.7070707070707071,4.500533473289058,0.13993014503658516,0.6904761904761905,0.3695652173913043,0.4915254237288136,7.919334885118008,-0.30348848423641717,0.3333333333333333,0.7692307692307693,0.15789473684210525
"(72,159)",3.7794608887967027,0.357408505024439,0.8313253012048193,0.19767441860465115,0.69,4.699400003826278,0.19896294320709929,0.6190476190476191,0.38095238095238093,0.4482758620689655,7.344024910400709,-0.1960884493895546,0.3333333333333333,0.7272727272727273,0.17647058823529413
"(72,160)",4.644936191494332,0.365733204601482,0.8433734939759037,0.17647058823529413,0.7142857142857143,5.703565345046325,0.2497681376187177,0.6428571428571429,0.34146341463414637,0.48214285714285715,9.153895653098534,-0.09658675164775854,0.1111111111111111,0.8571428571428571,0.06666666666666667
"(72,161)",4.7185992581796965,0.453618763648279,0.9036144578313253,0.16666666666666666,0.7653061224489796,6.092957464190398,0.35441014634505247,0.6428571428571429,0.35714285714285715,0.47368421052631576,9.92648818607219,0.12259489986438302,0.2222222222222222,0.6,0.16666666666666666
"(72,162)",4.947050371859377,0.4876916394180117,0.8795180722891566,0.18888888888888888,0.73,6.405469080976031,0.3954341731549806,0.6428571428571429,0.35714285714285715,0.47368421052631576,9.788332158297502,0.2872148573301092,0.1111111111111111,0.8,0.07692307692307693
"(72,163)",5.0249467573166156,0.5385677316726621,0.8554216867469879,0.2111111111111111,0.696078431372549,6.367598991896774,0.4651714723513621,0.6904761904761905,0.3695652173913043,0.4915254237288136,9.913309488282945,0.4123538324495342,0.1111111111111111,0.8333333333333334,0.07142857142857142
"(72,164)",5.678396873318058,0.4921103358084846,0.8536585365853658,0.1566265060240964,0.7368421052631579,7.114376184937206,0.433583606602403,0.6585365853658537,0.35714285714285715,0.48214285714285715,11.477557422005448,0.4500800600072435,0.3333333333333333,0.5714285714285714,0.23076923076923078
"(72,165)",5.125345135828107,0.42301354712315037,0.8795180722891566,0.18888888888888888,0.73,5.899610430269688,0.252143487321651,0.6904761904761905,0.30952380952380953,0.5272727272727272,4.048245102291321,0.07791401851307025,0.0,,0.0
"(72,166)",4.731700092343118,0.4852777005099087,0.8674698795180723,0.1724137931034483,0.7346938775510204,5.564720205626983,0.40837125252191464,0.6666666666666666,0.3333333333333333,0.5,4.861436037151888,-0.08526030334560888,0.0,,0.0
"(72,167)",3.83622051932774,0.6573297001034845,0.8,0.17647058823529413,0.6829268292682927,6.79203752421125,0.31369024456147154,0.8,0.3,0.5957446808510638,3.838941463135761,-0.2453931166392844,0.0,,0.0
